Timestamp,ANS,Answers
10/28/21 9:49,2hrs,2.0
10/28/21 9:50,4hrs,4.0
10/28/21 9:56,2hrs,2.0
10/28/21 10:01,6hrs,6.0
10/28/21 10:01,4hrs,4.0
10/28/21 10:01,12+hrs,4.0
10/28/21 10:09,7hrs,7.0
10/28/21 10:14,4hrs,4.0
10/28/21 10:28,9hrs,9.0
10/28/21 10:39,6hrs,6.0
10/28/21 10:40,6hrs,6.0
10/28/21 10:53,4hrs,4.0
10/28/21 11:33,4hrs,4.0
10/28/21 11:53,12hrs,12.0
10/28/21 12:43,4hrs,4.0
10/28/21 12:49,9hrs,9.0
10/28/21 15:57,3hrs,3.0
10/28/21 20:26,8hrs,8.0
10/28/21 20:31,6hrs,6.0
10/29/21 0:45,4hrs,4.0
10/29/21 1:55,11hrs,11.0
10/29/21 14:02,4hrs,4.0
10/30/21 9:18,4hrs,4.0
10/30/21 9:18,5hrs,5.0
10/30/21 9:18,5hrs,5.0
